"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","2059","","","","0"
"2022/2023","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","2157","","","","0"
"2023/2024","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","2165","","","","0"
"2024/2025","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","2243","","","","0"
"2000/2001","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1781","","","","0"
"2001/2002","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1686","","","","0"
"2002/2003","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1662","","","","0"
"2003/2004","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1598","","","","0"
"2004/2005","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1531","","","","0"
"2005/2006","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1494","","","","0"
"2006/2007","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1387","","","","0"
"2007/2008","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1410","","","","0"
"2008/2009","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1323","","","","0"
"2009/2010","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1258","","","","0"
"2010/2011","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v470962","1.1.50","1232","","","","0"
