"REF_DATE","GEO","DGUID","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","55.7","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","59.0","","","","1"
"2022","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","56.5","","","","1"
"2023","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","54.8","","","","1"
"2024","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","55.6","","","","1"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","5.8","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","6.0","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","6.1","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","6.5","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","6.9","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","7.2","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","7.4","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","7.9","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","8.5","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","9.3","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","9.9","","","","1"
"2011","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","10.3","","","","1"
"2012","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","10.6","","","","1"
"2013","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","10.7","","","","1"
"2014","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","10.9","","","","1"
"2015","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","11.4","","","","1"
"2016","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","11.5","","","","1"
"2017","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","11.8","","","","1"
"2018","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","12.2","","","","1"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","12.5","","","","1"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","12.4","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","12.5","","","","1"
"2022","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","12.8","","","","1"
"2023","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","12.3","","","","1"
"2024","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 40 to 44 years","Rate","257","units","0","v21400973","1.6","12.6","","","","1"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.2","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.3","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.2","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.3","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.3","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.3","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.3","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.4","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.4","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.4","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.4","","","","1"
"2011","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.5","","","","1"
"2012","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.5","","","","1"
"2013","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.6","","","","1"
"2014","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.6","","","","1"
"2015","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.7","","","","1"
"2016","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.7","","","","1"
"2017","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.8","","","","1"
"2018","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.8","","","","1"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.8","","","","1"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.8","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.8","","","","1"
"2022","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.9","","","","1"
"2023","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.9","","","","1"
"2024","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 45 to 49 years","Rate","257","units","0","v21400974","1.7","0.9","","","","1"
"2000","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","10.7","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","10.8","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","10.5","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","10.6","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","10.6","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","10.7","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","11.0","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","11.3","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","11.5","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","11.4","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Crude birth rate, live births per 1,000 population","Rate","257","units","0","v21400975","1.8","11.2","","","","1"
